Date,Close
2006-03-23,19675
2006-03-24,20155
2006-03-27,20540
2006-03-28,20495
2006-03-29,20260
2006-03-30,20150
2006-03-31,20190
2006-04-03,20265
2006-04-04,20725
2006-04-05,20070
2006-04-06,20310
2006-04-07,20350
2006-04-10,20405
2006-04-11,20985
2006-04-12,21260
2006-04-13,21275
2006-04-14,21790
2006-04-17,22290
2006-04-18,21785
2006-04-19,21960
2006-04-20,22300
2006-04-21,21630
2006-04-24,22075
2006-04-25,21530
2006-04-26,21620
2006-04-27,21540
2006-04-28,21665
2006-05-08,22225
2006-05-09,23350
2006-05-10,24345
2006-05-11,24865
2006-05-12,25600
2006-05-15,26420
2006-05-16,24990
2006-05-17,26205
2006-05-18,25480
2006-05-19,25670
2006-05-22,24715
2006-05-23,26100
2006-05-24,26475
2006-05-25,27580
2006-05-26,27785
2006-05-29,29450
2006-05-30,28620
2006-05-31,28600
2006-06-01,27565
2006-06-02,27600
2006-06-05,28250
2006-06-06,27580
2006-06-07,27845
2006-06-08,27825
2006-06-09,27000
2006-06-12,27360
2006-06-13,26045
2006-06-14,25025
2006-06-15,24200
2006-06-16,24655
2006-06-19,24145
2006-06-20,24215
2006-06-21,24370
2006-06-22,25265
2006-06-23,24640
2006-06-26,24610
2006-06-27,24930
2006-06-28,24635
2006-06-29,24665
2006-06-30,25710
2006-07-03,26640
2006-07-04,25595
2006-07-05,25520
2006-07-06,25400
2006-07-07,26130
2006-07-10,25070
2006-07-11,25585
2006-07-12,25500
2006-07-13,24835
2006-07-14,24600
2006-07-17,24755
2006-07-18,24090
2006-07-19,23890
2006-07-20,23825
2006-07-21,23760
2006-07-24,23770
2006-07-25,23680
2006-07-26,22925
2006-07-27,22900
2006-07-28,22820
2006-07-31,23740
2006-08-01,23400
2006-08-02,23680
2006-08-03,23360
2006-08-04,22790
2006-08-07,22780
2006-08-08,22700
2006-08-09,22800
2006-08-10,23175
2006-08-11,22845
2006-08-14,22050
2006-08-15,21965
2006-08-16,21680
2006-08-17,21550
2006-08-18,21505
2006-08-21,21100
2006-08-22,20580
2006-08-23,20360
2006-08-24,20700
2006-08-25,20390
2006-08-28,20080
2006-08-29,19520
2006-08-30,19450
2006-08-31,19310
2006-09-01,19660
2006-09-04,18920
2006-09-05,18680
2006-09-06,18120
2006-09-07,17900
2006-09-08,17880
2006-09-11,17850
2006-09-12,18345
2006-09-13,18580
2006-09-14,19010
2006-09-15,19400
2006-09-26,19600
2006-09-27,19900
2006-09-28,19770
2006-09-29,20500
2006-10-09,20705
2006-10-10,20100
2006-10-11,20080
2006-10-12,20250
2006-10-13,20290
2006-10-16,20500
2006-10-17,21120
2006-10-18,21000
2006-10-19,21200
2006-10-20,21450
2006-10-23,21500
2006-10-24,21600
2006-10-25,21600
2006-10-26,21600
2006-10-27,20860
2006-10-30,20750
2006-10-31,20400
2006-11-01,20440
2006-11-02,19950
2006-11-03,19750
2006-11-06,19740
2006-11-07,20200
2006-11-08,20200
2006-11-09,20240
2006-11-10,20200
2006-11-13,20080
2006-11-14,20080
2006-11-15,19670
2006-11-16,19100
2006-11-17,18560
2006-11-20,18560
2006-11-21,18370
2006-11-22,18370
2006-11-23,18000
2006-11-24,17600
2006-11-27,18200
2006-11-28,18490
2006-11-29,18500
2006-11-30,18650
2006-12-01,18100
2006-12-04,18100
2006-12-05,18660
2006-12-06,18575
2006-12-07,18450
2006-12-08,19200
2006-12-11,19015
2006-12-12,19245
2006-12-13,19020
2006-12-14,19230
2006-12-15,19095
2006-12-18,19230
2006-12-19,19140
2006-12-20,19630
2006-12-21,19550
2006-12-22,20010
2006-12-25,20040
2006-12-26,20410
2006-12-27,20460
2006-12-28,20630
2006-12-29,20300
2007-01-04,19730
2007-01-05,18975
2007-01-08,19300
2007-01-09,20100
2007-01-10,20360
2007-01-11,20450
2007-01-12,19745
2007-01-15,20520
2007-01-16,20200
2007-01-17,20450
2007-01-18,20610
2007-01-19,20235
2007-01-22,20520
2007-01-23,20855
2007-01-24,21215
2007-01-25,21420
2007-01-26,21415
2007-01-29,22100
2007-01-30,21940
2007-01-31,22300
2007-02-01,22140
2007-02-02,21505
2007-02-05,21325
2007-02-06,21675
2007-02-07,22370
2007-02-08,22000
2007-02-09,22160
2007-02-12,22215
2007-02-13,22200
2007-02-14,22270
2007-02-15,21690
2007-02-16,22300
2007-02-26,22730
2007-02-27,22300
2007-02-28,21600
2007-03-01,21900
2007-03-02,21750
2007-03-05,21000
2007-03-06,21390
2007-03-07,21270
2007-03-08,21320
2007-03-09,21365
2007-03-12,21645
2007-03-13,21430
2007-03-14,21280
2007-03-15,21310
2007-03-16,21280
2007-03-19,21310
2007-03-20,21550
2007-03-21,21435
2007-03-22,21490
2007-03-23,21370
2007-03-26,21730
2007-03-27,21960
2007-03-28,22020
2007-03-29,21940
2007-03-30,22480
2007-04-02,22500
2007-04-03,22450
2007-04-04,22365
2007-04-05,22215
2007-04-06,22575
